"","state","dist","pvi","metric","pvi_range","st_dist","st","candidate","incumbent","stance","st_metric","red_scale","req_majority","primary_scale","last_name","fec_id","fec_name","ttl_receipts","comp_scale","stance_scale","stance_key","stance_scale_reduced","stance_key_reduced","comp_key","primary_type","primary_type_reduced","primary_scale_reduced","red_key","dist_pol","fund_self","fund_indiv","fund_party","fund_other","fund_tot","fund_self_pct","fund_indiv_pct","fund_party_pct","fund_other_pct","X","Y"
"11","West Virginia",1,"R+17",0.67,"R+8 to R+20","WV1","WV","Carol Miller","Yes","Fully denied",0.73,0,0,2,"miller","H8WV03097","MILLER, CAROL DEVINE",1085780.82,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open to 
Unaffiliated","Restricted",3,"Legislature",-0.0599999999999999,0,452440.72,0,629447.89,1081888.61,0,0.418195289069547,0,0.581804710930453,39,14
"12","Alabama",6,"R+19",0.69,"R+8 to R+20","AL6","AL","Gary Palmer","Yes","Fully denied",0.65,0,1,1,"palmer","H4AL06098","PALMER, GARY",1180427.76,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.0399999999999999,0,659481.84,100,515569.1,1175150.94,0,0.561189050318932,8.50954516532149e-05,0.438725854229415,39,24
"13","Alabama",3,"R+19",0.69,"R+8 to R+20","AL3","AL","Mike Rogers","Yes","Fully denied",0.65,0,1,1,"rogers","H2AL03032","ROGERS, MICHAEL",1833781.94,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.0399999999999999,0,919221.65,13369.29,859240.44,1791831.38,0,0.513006781921634,0.00746124336766555,0.479531974710701,39.5,25
"14","Arkansas",4,"R+19",0.69,"R+8 to R+20","AR4","AR","Bruce Westerman","Yes","Accepted with reservations",0.66,0,1,1,"westerman","H4AR04048","WESTERMAN, BRUCE",1670264.7,3,1,"Acceptance with 
Reservations",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.0299999999999999,0,784003.61,0,877226.59,1661230.2,0,0.471941582810137,0,0.528058417189863,39,26
"15","Indiana",8,"R+19",0.69,"R+8 to R+20","IN8","IN","Larry D. Bucshon","Yes","Fully accepted",0.61,0,0,3,"bucshon","H0IN08114","BUCSHON, LARRY D.",1304885.5,3,2,"Acceptance",1,"Has Not Questioned Election","Solid R","Partially 
Open","Restricted",3,"Legislature",0.08,0,298959,0,1002441.5,1301400.5,0,0.22972098135816,0,0.77027901864184,40,4
"16","Kentucky",2,"R+19",0.69,"R+8 to R+20","KY2","KY","S. Brett Guthrie","Yes","Fully accepted",0.66,0,0,5,"guthrie","H8KY02031","GUTHRIE, S. BRETT HON.",2108632.05,3,2,"Acceptance",1,"Has Not Questioned Election","Solid R","Closed","Closed",5,"Legislature",0.0299999999999999,0,515523,0,1574660.33,2090183.33,0,0.246640087785984,0,0.753359912214016,40.5,5
"17","Louisiana",6,"R+19",0.69,"R+8 to R+20","LA6","LA","Garret Graves","Yes","Fully denied",0.62,0,0,0,"graves","H4LA06153","GRAVES, GARRET",1758639.54,3,-2,"Full Denial",0,"Questioned Election","Solid R","All Party","All Party",0,"Legislature",0.07,138.18,835165.51,0,916222.1,1751525.79,7.88912163263094e-05,0.476821702979321,0,0.523099405804353,40,6
"18","Minnesota",7,"R+19",0.69,"R+8 to R+20","MN7","MN","Michelle Fischbach","Yes","Fully denied",0.49,0,0,1,"fischbach","H0MN07091","FISCHBACH, MICHELLE",1533517.66,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.2,1069.72,766650.62,0,755876.17,1523596.51,0.000702101897043595,0.503184809736798,0,0.496113088366158,40.5,7
"19","Oklahoma",4,"R+19",0.69,"R+8 to R+20","OK4","OK","Tom Cole","Yes","Fully denied",0.7,0,1,4,"cole","H2OK04055","COLE, TOM",2106315.67,3,-2,"Full Denial",0,"Questioned Election","Solid R","Partially 
Closed","Restricted",3,"Legislature",-0.01,0,1280547.47,0,799829.89,2080377.36,0,0.615536149653157,0,0.384463850346843,40,8
"20","Tennessee",3,"R+19",0.69,"R+8 to R+20","TN3","TN","Chuck Fleischmann","Yes","Fully denied",0.64,0,0,3,"fleischmann","H0TN03254","FLEISCHMANN, CHARLES J",933776.28,3,-2,"Full Denial",0,"Questioned Election","Solid R","Partially 
Open","Restricted",3,"Legislature",0.0499999999999999,0,545638.76,261900,124197.5,931736.26,0,0.585615032305386,0.281088126805326,0.133296840889288,40.5,9
"21","Texas",25,"R+19",0.69,"R+8 to R+20","TX25","TX","Roger Williams","Yes","Fully denied",0.55,0,1,1,"williams","H2TX33040","WILLIAMS, ROGER",1606832.34,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.14,0,502837.45,0,1103429,1606266.45,0,0.313047346534568,0,0.686952653465432,40,10
"22","Alabama",7,"D+14",0.36,"D+25 to D+8","AL7","AL","Beatrice Nichols","No","Raised questions",0.65,0,1,1,"nichols","H2AL07173","NICHOLS, BEATRICE JACKSON",34724.7,-3,-1,"Raised Questions",0,"Questioned Election","Solid D","Open","Open",1,"Legislature",-0.29,0,33724.7,1000,0,34724.7,0,0.971202055021354,0.0287979449786463,0,4.5,11
"23","California",35,"D+14",0.36,"D+25 to D+8","CA35","CA","Mike Cargile","No","Fully denied",0.36,1,0,0,"cargile","H0CA35146","CARGILE, MIKE",56519.8,-3,-2,"Full Denial",0,"Questioned Election","Solid D","All Party","All Party",0,"Comission",0,32,51487.8,0,5000,56519.8,0.000566173270252195,0.910969253252842,0,0.0884645734769054,5,12
"24","California",50,"D+14",0.36,"D+25 to D+8","CA50","CA","Corey Gustafson","No","No comment",0.36,1,0,0,"gustafson","H2CA50232","GUSTAFSON, COREY",92226.63,-3,0,"No Comment",1,"Has Not Questioned Election","Solid D","All Party","All Party",0,"Comission",0,5978,76119.3,5129.33,5000,92226.63,0.0648185887308254,0.825350552221197,0.0556165827592313,0.0542142762887465,4.5,13
"25","Hawaii",1,"D+14",0.36,"D+25 to D+8","HI1","HI","Conrad Kress","No","No comment",0.35,0,0,1,"kress","H2HI02557","KRESS, CONRAD",68421.7,-3,0,"No Comment",1,"Has Not Questioned Election","Solid D","Open","Open",1,"Legislature",0.01,2984.26,64376.44,0,1056,68416.7,0.043618882524296,0.940946289429335,0,0.0154348280463688,5,14
"26","Hawaii",2,"D+14",0.36,"D+25 to D+8","HI2","HI","Joe Akana","No","Raised questions",0.35,0,0,1,"akana","H0HI02213","AKANA, JOSEPH",69871.86,-3,-1,"Raised Questions",0,"Questioned Election","Solid D","Open","Open",1,"Legislature",0.01,45365,23855.6,0,0,69220.6,0.655368488571321,0.344631511428679,0,0,4.5,15
"27","Maryland",5,"D+14",0.36,"D+25 to D+8","MD5","MD","Chris Palombi","No","Raised questions",0.36,0,0,5,"palombi","H0MD05225","PALOMBI, CHRISTOPHER",57291.12,-3,-1,"Raised Questions",0,"Questioned Election","Solid D","Closed","Closed",5,"Legislature",0,94.58,55544.35,350,1300,57288.93,0.00165092976950346,0.969547694467325,0.00610938273764233,0.0226919930255287,5,16
"28","Pennsylvania",5,"D+14",0.36,"D+25 to D+8","PA5","PA","David Galluch","No","No comment",0.52,0,0,5,"galluch","H2PA05074","GALLUCH, DAVID",572033.76,-3,0,"No Comment",1,"Has Not Questioned Election","Solid D","Closed","Closed",5,"Legislature",-0.16,2012.79,539170.97,5000,25850,572033.76,0.00351865596184393,0.942550960628617,0.00874074285405812,0.0451896405554805,4.5,17
"29","Texas",32,"D+14",0.36,"D+25 to D+8","TX32","TX","Antonio Swad","No","No comment",0.55,0,1,1,"swad","H2TX32166","SWAD, ANTONIO",2348683.5,-3,0,"No Comment",1,"Has Not Questioned Election","Solid D","Open","Open",1,"Legislature",-0.19,2321000,27683.5,0,0,2348683.5,0.988213184109311,0.0117868158906894,0,0,5,18
"30","Texas",7,"D+14",0.36,"D+25 to D+8","TX7","TX","Johnny Teague","No","Raised questions",0.55,0,1,1,"teague","H0TX09176","TEAGUE, JOHNNY MARK DR.",151993.36,-3,-1,"Raised Questions",0,"Questioned Election","Solid D","Open","Open",1,"Legislature",-0.19,27206.54,124786.82,0,0,151993.36,0.178998214132512,0.821001785867488,0,0,4.5,19
"31","Alabama",1,"R+16",0.66,"R+8 to R+20","AL1","AL","Jerry Carl","Yes","Fully denied",0.65,0,1,1,"carl","H0AL01055","CARL, JERRY LEE, JR",971308.44,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.01,0,335774.9,0,635023.53,970798.43,0,0.345874992813905,0,0.654125007186095,38,14
"32","Arizona",9,"R+16",0.66,"R+8 to R+20","AZ9","AZ","Paul Gosar","Yes","Fully denied",0.53,1,0,2,"gosar","H0AZ01259","GOSAR, PAUL DR.",747570.84,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open to 
Unaffiliated","Restricted",3,"Comission",0.13,0,695598.82,0,51581,747179.82,0,0.930965747977508,0,0.0690342520224917,38.5,15
"33","California",20,"R+16",0.66,"R+8 to R+20","CA20","CA","Kevin McCarthy","Yes","Fully denied",0.36,1,0,0,"mccarthy","H6CA22125","MCCARTHY, KEVIN",25601004.6,3,-2,"Full Denial",0,"Questioned Election","Solid R","All Party","All Party",0,"Comission",0.3,0,17874541.51,0,7706461.19,25581002.7,0,0.698742802212362,0,0.301257197787638,38,16
"34","Florida",12,"R+16",0.66,"R+8 to R+20","FL12","FL","Gus Michael Bilirakis","Yes","Fully denied",0.53,0,0,5,"bilirakis","H6FL09070","BILIRAKIS, GUS M",1750923.77,3,-2,"Full Denial",0,"Questioned Election","Solid R","Closed","Closed",5,"Legislature",0.13,0,762269.2,0,984670.08,1746939.28,0,0.436345560905815,0,0.563654439094185,38.5,17
"35","Georgia",8,"R+16",0.66,"R+8 to R+20","GA8","GA","Austin Scott","Yes","Accepted with reservations",0.53,0,1,1,"scott","H0GA08099","SCOTT, JAMES AUSTIN",767694.28,3,1,"Acceptance with 
Reservations",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.13,0,258004.72,0,505600,763604.72,0,0.337877324802288,0,0.662122675197712,38,18
"36","Indiana",9,"R+16",0.66,"R+8 to R+20","IN9","IN","Erin Houchin","No","Raised questions",0.61,0,0,3,"houchin","H6IN09143","HOUCHIN, ERIN",1139354.15,3,-1,"Raised Questions",0,"Questioned Election","Solid R","Partially 
Open","Restricted",3,"Legislature",0.05,0,623409.31,0,513609.8,1137019.11,0,0.548283933416036,0,0.451716066583964,38,20
"37","Iowa",4,"R+16",0.66,"R+8 to R+20","IA4","IA","Randy Feenstra","Yes","Accepted with reservations",0.56,0,0,3,"feenstra","H0IA04145","FEENSTRA, RANDALL",2673008.68,3,1,"Acceptance with 
Reservations",0,"Questioned Election","Solid R","Partially 
Open","Restricted",3,"Legislature",0.1,0,1312754.88,0,1357441.82,2670196.7,0,0.491632275629732,0,0.508367724370268,38.5,19
"38","Michigan",2,"R+16",0.66,"R+8 to R+20","MI2","MI","John Moolenaar","Yes","Accepted with reservations",0.51,1,0,1,"moolenaar","H4MI04126","MOOLENAAR, JOHN MR.",2004154.56,3,1,"Acceptance with 
Reservations",0,"Questioned Election","Solid R","Open","Open",1,"Comission",0.15,0,1269101.57,375,734122.5,2003599.07,0,0.633410939844367,0.000187163193282976,0.36640189696235,38.5,21
"39","Missouri",3,"R+16",0.66,"R+8 to R+20","MO3","MO","Blaine Luetkemeyer","Yes","Fully denied",0.61,0,0,1,"luetkemeyer","H8MO09153","LUETKEMEYER, W BLAINE",2894857.42,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.05,0,1089175.22,0,1800614.83,2889790.05,0,0.376904619766408,0,0.623095380233592,38,22
"40","Montana",2,"R+16",0.66,"R+8 to R+20","MT2","MT","Matt Rosendale","Yes","Fully denied",0.61,1,0,1,"rosendale","H4MT00050","ROSENDALE, MATT MR.",2040344.42,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Comission",0.05,0,1117928.08,3500,871095.99,1992524.07,0,0.561061267380323,0.00175656598216151,0.437182166637515,38.5,23
"41","South Dakota",0,"R+16",0.66,"R+8 to R+20","SDAL","SD","Dusty Johnson","Yes","Accepted with reservations",0.66,-1,1,4,"johnson","H8SD01055","JOHNSON, DUSTY",2449306.95,3,1,"Acceptance with 
Reservations",0,"Questioned Election","Solid R","Partially 
Closed","Restricted",3,"Single District
State",0,165,1595820.7,0,834250,2430235.7,6.78946490663436e-05,0.656652644844284,0,0.34327946050665,38,24
"42","Texas",6,"R+16",0.66,"R+8 to R+20","TX6","TX","Jake Ellzey","Yes","Raised questions",0.55,0,1,1,"ellzey","H8TX06266","ELLZEY, JOHN KEVIN SR.",6588204.2,3,-1,"Raised Questions",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.11,0,5912136.33,0,674992.87,6587129.2,0,0.897528521225908,0,0.102471478774092,38.5,25
"43","Texas",14,"R+16",0.66,"R+8 to R+20","TX14","TX","Randy Weber","Yes","Fully denied",0.55,0,1,1,"weber","H2TX14149","WEBER, RANDY",930424.33,3,-2,"Full Denial",0,"Questioned Election","Solid R","Open","Open",1,"Legislature",0.11,0,546235.16,0,272015.97,818251.13,0,0.66756419878088,0,0.33243580121912,38,26
"44","Utah",4,"R+16",0.66,"R+8 to R+20","UT4","UT","Burgess Owens","Yes","Fully denied",0.63,0,0,4,"owens","H0UT04076","OWENS, BURGESS",3336865.02,3,-2,"Full Denial",0,"Questioned Election","Solid R","Partially 
Closed","Restricted",3,"Legislature",0.03,0,2624563.6,0,621443.24,3246006.84,0,0.808551469349338,0,0.191448530650662,39,4
"45","Alaska",0,"R+9",0.59,"R+8 to R+20","AKAL","AK","Nick Begich","No","Accepted with reservations",0.59,-1,0,0,"begich","H2AK01083","BEGICH, NICHOLAS III",1502461.64,2,1,"Acceptance with 
Reservations",0,"Questioned Election","Likely R","All Party","All Party",0,"Single District
State",0,673719.93,793887.95,0,34853.74,1502461.62,0.448410742099356,0.528391500609513,0,0.0231977572911313,34.5,13
"46","Alaska",0,"R+9",0.59,"R+8 to R+20","AKAL","AK","Sarah Palin","No","Fully denied",0.59,-1,0,0,"palin","H2AK00226","PALIN, SARAH",1556120.28,2,-2,"Full Denial",0,"Questioned Election","Likely R","All Party","All Party",0,"Single District
State",0,0,1368813.91,0,182642.77,1551456.68,0,0.882276590539415,0,0.117723409460585,34.5,13
"47","Arkansas",2,"R+9",0.59,"R+8 to R+20","AR2","AR","French Hill","Yes","Fully accepted",0.66,0,1,1,"hill","H4AR02141","HILL, JAMES FRENCH",3049306.98,2,2,"Acceptance",1,"Has Not Questioned Election","Likely R","Open","Open",1,"Legislature",-0.0700000000000001,0,1407287.39,0,1499383.69,2906671.08,0,0.48415777061366,0,0.51584222938634,34,14
"48","California",5,"R+9",0.59,"R+8 to R+20","CA5","CA","Tom McClintock","Yes","Accepted with reservations",0.36,1,0,0,"mcclintock","H8CA04152","MCCLINTOCK, THOMAS",1512905.13,2,1,"Acceptance with 
Reservations",0,"Questioned Election","Likely R","All Party","All Party",0,"Comission",0.23,0,1077942.44,0,429371.94,1507314.38,0,0.715141084237517,0,0.284858915762484,34.5,15
"49","Florida",3,"R+9",0.59,"R+8 to R+20","FL3","FL","Kat Cammack","Yes","Fully denied",0.53,0,0,5,"cammack","H0FL03175","CAMMACK, KAT",2149661.97,2,-2,"Full Denial",0,"Questioned Election","Likely R","Closed","Closed",5,"Legislature",0.0599999999999999,0,1099516.17,0,1048762.38,2148278.55,0,0.511812665075486,0,0.488187334924514,34,16
"50","Georgia",1,"R+9",0.59,"R+8 to R+20","GA1","GA","Earl L. ""Buddy"" Carter","Yes","Accepted with reservations",0.53,0,1,1,"carter","H4GA01039","CARTER, EARL LEROY",1883290.19,2,1,"Acceptance with 
Reservations",0,"Questioned Election","Likely R","Open","Open",1,"Legislature",0.0599999999999999,0,896873.45,0,983783.47,1880656.92,0,0.476893706907478,0,0.523106293092522,34.5,17
"51","Nebraska",1,"R+9",0.59,"R+8 to R+20","NE1","NE","Mike Flood","Yes","No comment",0.63,0,0,5,"flood","H2NE01118","FLOOD, MIKE",1877070.48,2,0,"No Comment",1,"Has Not Questioned Election","Likely R","Closed","Closed",5,"Legislature",-0.04,68000,1472358,0,334976.69,1875334.69,0.0362601941736597,0.785117455487372,0,0.178622350338968,34,18
"52","New York",21,"R+9",0.59,"R+8 to R+20","NY21","NY","Elise M. Stefanik","Yes","Fully denied",0.4,1,0,5,"stefanik","H4NY21079","STEFANIK, ELISE M.",8447911.35,2,-2,"Full Denial",0,"Questioned Election","Likely R","Closed","Closed",5,"Comission",0.19,0,6577746.52,0,1844503.29,8422249.81,0,0.780996368950021,0,0.21900363104998,34.5,19
"53","Ohio",14,"R+9",0.59,"R+8 to R+20","OH14","OH","David P. Joyce","Yes","Fully accepted",0.56,0,0,3,"joyce","H2OH14064","JOYCE, DAVID P",2390674.67,2,2,"Acceptance",1,"Has Not Questioned Election","Likely R","Partially 
Open","Restricted",3,"Legislature",0.0299999999999999,0,1066665.56,0,1315570.01,2382235.57,0,0.447758220653216,0,0.552241779346784,34,20
"54","South Carolina",2,"R+9",0.59,"R+8 to R+20","SC2","SC","Joe Wilson","Yes","Fully denied",0.58,0,1,1,"wilson","H2SC02059","WILSON, JOE THE HON.",914759.59,2,-2,"Full Denial",0,"Questioned Election","Likely R","Open","Open",1,"Legislature",0.01,0,502791.7,0,411965.48,914757.18,0,0.549644988848297,0,0.450355011151703,34.5,21
"55","Tennessee",5,"R+9",0.59,"R+8 to R+20","TN5","TN","Andy Ogles","No","Fully denied",0.64,0,0,3,"ogles","H2TN05446","OGLES, ANDY",901266.3,2,-2,"Full Denial",0,"Questioned Election","Likely R","Partially 
Open","Restricted",3,"Legislature",-0.05,320000,459262.5,0,122003.8,901266.3,0.355055991775128,0.509574695070702,0,0.13536931315417,34,22
"56","Arizona",8,"R+10",0.6,"R+8 to R+20","AZ8","AZ","Debbie Lesko","Yes","Fully denied",0.53,1,0,2,"lesko","H8AZ08158","LESKO, DEBBIE",1083286.05,2,-2,"Full Denial",0,"Questioned Election","Likely R","Open to 
Unaffiliated","Restricted",3,"Comission",0.07,0,654838.51,650,418931.91,1074420.42,0,0.609480700301657,0.000604977332802368,0.389914322365541,35.5,7
"57","California",48,"R+10",0.6,"R+8 to R+20","CA48","CA","Darrell Issa","Yes","Fully denied",0.36,1,0,0,"issa","H0CA48024","ISSA, DARRELL",2077200.13,2,-2,"Full Denial",0,"Questioned Election","Likely R","All Party","All Party",0,"Comission",0.24,2e+05,1111717.91,0,757243.23,2068961.14,0.0966668711815438,0.537331459980925,0,0.366001668837531,35,8
"58","Colorado",5,"R+10",0.6,"R+8 to R+20","CO5","CO","Doug Lamborn","Yes","Fully denied",0.47,1,0,2,"lamborn","H6CO05159","LAMBORN, DOUGLAS",465226.3,2,-2,"Full Denial",0,"Questioned Election","Likely R","Open to 
Unaffiliated","Restricted",3,"Comission",0.13,0,216326.3,0,248900,465226.3,0,0.46499155357296,0,0.53500844642704,35.5,9
"59","Florida",17,"R+10",0.6,"R+8 to R+20","FL17","FL","Greg Steube","Yes","Fully denied",0.53,0,0,5,"steube","H8FL17053","STEUBE, GREG",1499496.15,2,-2,"Full Denial",0,"Questioned Election","Likely R","Closed","Closed",5,"Legislature",0.07,0,750059.99,0,730512.57,1480572.56,0,0.506601304295414,0,0.493398695704586,35,10
"60","Tennessee",7,"R+10",0.6,"R+8 to R+20","TN7","TN","Mark E. Green","Yes","Raised questions",0.64,0,0,3,"green","H8TN07076","GREEN, MARK DR.",1505775.52,2,-1,"Raised Questions",0,"Questioned Election","Likely R","Partially 
Open","Restricted",3,"Legislature",-0.04,0,1053867.28,650,440758.24,1495275.52,0,0.704798056213747,0.000434702495497285,0.294767241290756,35.5,11
"61","Wisconsin",8,"R+10",0.6,"R+8 to R+20","WI8","WI","Mike Gallagher","Yes","Accepted with reservations",0.52,0,0,1,"gallagher","H6WI08155","GALLAGHER, MICHAEL JOHN",2995549.65,2,1,"Acceptance with 
Reservations",0,"Questioned Election","Likely R","Open","Open",1,"Legislature",0.08,0,1060751.75,0,1888128.29,2948880.04,0,0.359713428695458,0,0.640286571304542,35,12
"62","Wisconsin",6,"R+10",0.6,"R+8 to R+20","WI6","WI","Glenn Grothman","Yes","Accepted with reservations",0.52,0,0,1,"grothman","H4WI06048","GROTHMAN, GLENN S.",1195958.61,2,1,"Acceptance with 
Reservations",0,"Questioned Election","Likely R","Open","Open",1,"Legislature",0.08,0,923870.5,0,253600,1177470.5,0,0.784623054250616,0,0.215376945749384,35.5,13
"63","Arizona",2,"R+6",0.56,"R+5 to R+7","AZ2","AZ","Eli Crane","No","Fully denied",0.53,1,0,2,"crane","H2AZ01354","CRANE, ELI",3142452.18,2,-2,"Full Denial",0,"Questioned Election","Likely R","Open to 
Unaffiliated","Restricted",3,"Comission",0.03,1e+05,2594154.16,0,445693.74,3139847.9,0.0318486764916224,0.826203766112365,0,0.141947557396013,32,12
"64","Florida",4,"R+6",0.56,"R+5 to R+7","FL4","FL","Aaron Bean","No","No comment",0.53,0,0,5,"bean","H2FL04211","BEAN, AARON P.",890717.55,2,0,"No Comment",1,"Has Not Questioned Election","Likely R","Closed","Closed",5,"Legislature",0.03,0,632418,5000,253299.55,890717.55,0,0.710009587214263,0.00561345176144783,0.284376961024289,32.5,13
"65","Florida",26,"R+6",0.56,"R+5 to R+7","FL26","FL","Mario Diaz-Balart","Yes","Fully denied",0.53,0,0,5,"diaz-balart","H2FL25018","DIAZ-BALART, MARIO",1585197.56,2,-2,"Full Denial",0,"Questioned Election","Likely R","Closed","Closed",5,"Legislature",0.03,0,772508.21,0,812689.35,1585197.56,0,0.487326141228731,0,0.512673858771269,32,14
"66","Maine",2,"R+6",0.56,"R+5 to R+7","ME2","ME","Bruce Poliquin","No","Avoided answering",0.49,0,0,2,"poliquin","H4ME02234","POLIQUIN, BRUCE",3369373.49,2,0,"No Comment",1,"Has Not Questioned Election","Likely R","Open to 
Unaffiliated","Restricted",3,"Legislature",0.0700000000000001,18181.76,2312542,5000,1033649.73,3369373.49,0.0053961842027789,0.686341839770337,0.00148395540442149,0.306778020622463,32.5,15
"67","Montana",1,"R+6",0.56,"R+5 to R+7","MT1","MT","Ryan K. Zinke","No","Raised questions",0.61,1,0,1,"zinke",NA,NA,NA,2,-1,"Raised Questions",0,"Questioned Election","Likely R","Open","Open",1,"Comission",-0.0499999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16
"68","New York",11,"R+6",0.56,"R+5 to R+7","NY11","NY","Nicole Malliotakis","Yes","Fully denied",0.4,1,0,5,"malliotakis","H0NY11078","MALLIOTAKIS, NICOLE",4301185.65,2,-2,"Full Denial",0,"Questioned Election","Likely R","Closed","Closed",5,"Comission",0.16,0,2751310.53,7200,1538951.17,4297461.7,0,0.640217580065926,0.00167540760165472,0.358107012332419,32,18
"69","North Carolina",9,"R+6",0.56,"R+5 to R+7","NC9","NC","Richard Hudson","Yes","Fully denied",0.53,0,0,4,"hudson","H2NC08185","HUDSON, RICHARD L. JR.",2869180.53,2,-2,"Full Denial",0,"Questioned Election","Likely R","Partially 
Closed","Restricted",3,"Legislature",0.03,0,1255892.38,0,1608467.61,2864359.99,0,0.438454797715562,0,0.561545202284438,32.5,17
